COUNTRY,Country,Year,Value
AUS,Australia,2005,590
AUS,Australia,2006,477
AUS,Australia,2007,374
AUS,Australia,2008,332
AUS,Australia,2009,332
AUS,Australia,2010,318
AUS,Australia,2011,325
AUS,Australia,2012,318
AUS,Australia,2013,306
AUS,Australia,2014,309
AUS,Australia,2015,298
AUS,Australia,2016,290
AUS,Australia,2017,315
BEL,Belgium,2005,120
BEL,Belgium,2006,107
BEL,Belgium,2007,102
BEL,Belgium,2008,100
BEL,Belgium,2009,89
BEL,Belgium,2010,89
BEL,Belgium,2011,86
BEL,Belgium,2012,83
BEL,Belgium,2013,80
BEL,Belgium,2014,79
BEL,Belgium,2015,76
BEL,Belgium,2016,72
BEL,Belgium,2017,71
CAN,Canada,2005,21819
CAN,Canada,2006,21461
CAN,Canada,2007,21183
CAN,Canada,2008,20507
CAN,Canada,2009,20197
CAN,Canada,2010,19906
CAN,Canada,2011,19520
CAN,Canada,2012,18740
CAN,Canada,2013,18452
CAN,Canada,2014,18136
CAN,Canada,2015,17796
CAN,Canada,2016,17703
DNK,Denmark,2005,3344
DNK,Denmark,2006,3135
DNK,Denmark,2007,2957
DNK,Denmark,2008,2890
DNK,Denmark,2009,2830
DNK,Denmark,2010,2818
DNK,Denmark,2011,2784
DNK,Denmark,2012,2740
DNK,Denmark,2013,2632
DNK,Denmark,2014,2455
DNK,Denmark,2015,2354
DNK,Denmark,2016,2263
DNK,Denmark,2017,2203
FIN,Finland,2005,3265
FIN,Finland,2006,3196
FIN,Finland,2007,3164
FIN,Finland,2008,3242
FIN,Finland,2009,3271
FIN,Finland,2010,3366
FIN,Finland,2011,3336
FIN,Finland,2012,3249
FIN,Finland,2013,3219
FIN,Finland,2014,3210
FRA,France,2005,7906
FRA,France,2006,7714
FRA,France,2007,7600
FRA,France,2008,7377
FRA,France,2009,7274
FRA,France,2010,7219
FRA,France,2011,7208
FRA,France,2012,7139
FRA,France,2013,7125
FRA,France,2014,7068
FRA,France,2015,6911
FRA,France,2016,6833
FRA,France,2017,6523
DEU,Germany,2005,2252
DEU,Germany,2006,2135
DEU,Germany,2007,1955
DEU,Germany,2008,1899
DEU,Germany,2009,1825
DEU,Germany,2010,1724
DEU,Germany,2011,1627
DEU,Germany,2012,1552
DEU,Germany,2013,1532
DEU,Germany,2014,1492
DEU,Germany,2015,1443
DEU,Germany,2016,1415
DEU,Germany,2017,1389
GRC,Greece,2005,18451
GRC,Greece,2006,18156
GRC,Greece,2007,17850
GRC,Greece,2008,17667
GRC,Greece,2009,17513
GRC,Greece,2010,17378
GRC,Greece,2011,16863
GRC,Greece,2012,16249
GRC,Greece,2013,15860
GRC,Greece,2014,15883
GRC,Greece,2015,15355
GRC,Greece,2016,15188
GRC,Greece,2017,14977
ISL,Iceland,2005,1449
ISL,Iceland,2006,1344
ISL,Iceland,2007,1333
ISL,Iceland,2008,1166
ISL,Iceland,2009,1205
ISL,Iceland,2010,1375
ISL,Iceland,2011,1421
ISL,Iceland,2012,1449
ISL,Iceland,2013,1427
ISL,Iceland,2014,1370
ISL,Iceland,2015,1312
ISL,Iceland,2016,1276
ISL,Iceland,2017,1273
IRL,Ireland,2005,1862
IRL,Ireland,2006,1932
IRL,Ireland,2007,1941
IRL,Ireland,2008,2016
IRL,Ireland,2009,2095
IRL,Ireland,2010,2132
IRL,Ireland,2011,2167
IRL,Ireland,2012,2227
IRL,Ireland,2013,2155
IRL,Ireland,2014,2122
IRL,Ireland,2015,2112
IRL,Ireland,2016,2092
IRL,Ireland,2017,1994
ITA,Italy,2005,14304
ITA,Italy,2006,13955
ITA,Italy,2007,13604
ITA,Italy,2008,13374
ITA,Italy,2009,13609
ITA,Italy,2010,13239
ITA,Italy,2011,13078
ITA,Italy,2012,12766
ITA,Italy,2013,12691
ITA,Italy,2014,12675
ITA,Italy,2015,12426
ITA,Italy,2016,12311
ITA,Italy,2017,12270
JPN,Japan,2005,325450
JPN,Japan,2006,321017
JPN,Japan,2007,313397
JPN,Japan,2008,306581
JPN,Japan,2009,298858
JPN,Japan,2010,292822
JPN,Japan,2011,268679
JPN,Japan,2012,269736
JPN,Japan,2013,262742
JPN,Japan,2014,257045
JPN,Japan,2015,250817
JPN,Japan,2016,244569
JPN,Japan,2017,237503
KOR,Korea,2005,90735
KOR,Korea,2006,86113
KOR,Korea,2007,85627
KOR,Korea,2008,80766
KOR,Korea,2009,77713
KOR,Korea,2010,76974
KOR,Korea,2011,75629
KOR,Korea,2012,75031
KOR,Korea,2013,71287
KOR,Korea,2014,68417
KOR,Korea,2015,67226
KOR,Korea,2016,66970
KOR,Korea,2017,66736
MEX,Mexico,2005,106301
MEX,Mexico,2006,106240
MEX,Mexico,2007,106205
MEX,Mexico,2008,106205
MEX,Mexico,2009,106107
MEX,Mexico,2010,94111
MEX,Mexico,2011,82069
MEX,Mexico,2012,71654
MEX,Mexico,2013,76096
MEX,Mexico,2014,75741
MEX,Mexico,2015,76285
MEX,Mexico,2016,75997
MEX,Mexico,2017,76306
NLD,Netherlands,2005,894
NLD,Netherlands,2006,894
NLD,Netherlands,2007,903
NLD,Netherlands,2008,902
NLD,Netherlands,2009,902
NLD,Netherlands,2010,910
NLD,Netherlands,2011,882
NLD,Netherlands,2012,897
NLD,Netherlands,2013,904
NLD,Netherlands,2014,864
NLD,Netherlands,2015,829
NLD,Netherlands,2016,829
NLD,Netherlands,2017,849
NZL,New Zealand,2005,1654
NZL,New Zealand,2006,1582
NZL,New Zealand,2007,1508
NZL,New Zealand,2008,1435
NZL,New Zealand,2009,1403
NZL,New Zealand,2010,1401
NZL,New Zealand,2011,1416
NZL,New Zealand,2012,1417
NZL,New Zealand,2013,1367
NZL,New Zealand,2014,1334
NZL,New Zealand,2015,1324
NZL,New Zealand,2016,1254
NZL,New Zealand,2017,1221
NOR,Norway,2005,7722
NOR,Norway,2006,7300
NOR,Norway,2007,7038
NOR,Norway,2008,6785
NOR,Norway,2009,6506
NOR,Norway,2010,6310
NOR,Norway,2011,6250
NOR,Norway,2012,6211
NOR,Norway,2013,6126
NOR,Norway,2014,5939
NOR,Norway,2015,5884
NOR,Norway,2016,5947
NOR,Norway,2017,6134
POL,Poland,2005,975
POL,Poland,2006,880
POL,Poland,2007,864
POL,Poland,2008,832
POL,Poland,2009,806
POL,Poland,2010,793
POL,Poland,2011,790
POL,Poland,2012,798
POL,Poland,2013,838
POL,Poland,2014,873
POL,Poland,2015,875
POL,Poland,2016,843
POL,Poland,2017,834
PRT,Portugal,2005,9955
PRT,Portugal,2006,8754
PRT,Portugal,2007,8637
PRT,Portugal,2008,8585
PRT,Portugal,2009,8562
PRT,Portugal,2010,8492
PRT,Portugal,2011,8380
PRT,Portugal,2012,8276
PRT,Portugal,2013,8232
PRT,Portugal,2014,8177
PRT,Portugal,2015,8054
PRT,Portugal,2016,7980
PRT,Portugal,2017,7922
ESP,Spain,2005,13695
ESP,Spain,2006,13398
ESP,Spain,2007,13006
ESP,Spain,2008,11394
ESP,Spain,2009,11116
ESP,Spain,2010,10847
ESP,Spain,2011,10505
ESP,Spain,2012,10116
ESP,Spain,2013,9872
ESP,Spain,2014,9635
ESP,Spain,2015,9409
ESP,Spain,2016,9299
ESP,Spain,2017,9146
SWE,Sweden,2005,1588
SWE,Sweden,2006,1551
SWE,Sweden,2007,1503
SWE,Sweden,2008,1466
SWE,Sweden,2009,1406
SWE,Sweden,2010,1356
SWE,Sweden,2011,1366
SWE,Sweden,2012,1375
SWE,Sweden,2013,1361
SWE,Sweden,2014,1348
SWE,Sweden,2015,1314
SWE,Sweden,2016,1268
SWE,Sweden,2017,1223
TUR,Turkey,2005,18836
TUR,Turkey,2006,18790
TUR,Turkey,2007,18563
TUR,Turkey,2008,17732
TUR,Turkey,2009,17469
TUR,Turkey,2010,17440
TUR,Turkey,2011,17165
TUR,Turkey,2012,16998
TUR,Turkey,2013,16437
TUR,Turkey,2014,15877
TUR,Turkey,2015,15680
TUR,Turkey,2016,15663
TUR,Turkey,2017,15406
GBR,United Kingdom,2005,6738
GBR,United Kingdom,2006,6768
GBR,United Kingdom,2007,6775
GBR,United Kingdom,2008,6577
GBR,United Kingdom,2009,6505
GBR,United Kingdom,2010,6477
GBR,United Kingdom,2011,7885
GBR,United Kingdom,2012,6505
GBR,United Kingdom,2013,6481
GBR,United Kingdom,2014,6281
GBR,United Kingdom,2015,6252
GBR,United Kingdom,2016,6195
GBR,United Kingdom,2017,6194
USA,United States,2005,36150
USA,United States,2009,25000
USA,United States,2010,26000
USA,United States,2011,26500
USA,United States,2012,27000
ARG,Argentina,2005,964
ARG,Argentina,2006,1095
ARG,Argentina,2007,1098
ARG,Argentina,2008,1106
ARG,Argentina,2009,1149
ARG,Argentina,2010,1090
ARG,Argentina,2011,896
ARG,Argentina,2012,1017
ARG,Argentina,2013,902
ARG,Argentina,2014,911
ARG,Argentina,2015,938
ARG,Argentina,2016,925
ARG,Argentina,2017,804
CHL,Chile,2005,14403
CHL,Chile,2006,14878
CHL,Chile,2007,15238
CHL,Chile,2008,15497
CHL,Chile,2009,15547
CHL,Chile,2010,16095
CHL,Chile,2011,12948
CHL,Chile,2012,9603
CHL,Chile,2013,8644
CHL,Chile,2014,7154
CHL,Chile,2015,9391
CHL,Chile,2016,9540
COL,Colombia,2005,352
COL,Colombia,2006,281
COL,Colombia,2007,261
COL,Colombia,2008,200
COL,Colombia,2009,175
COL,Colombia,2010,158
COL,Colombia,2011,143
COL,Colombia,2012,135
COL,Colombia,2013,134
COL,Colombia,2014,134
COL,Colombia,2015,133
COL,Colombia,2016,175
COL,Colombia,2017,124
CRI,Costa Rica,2005,4051
CRI,Costa Rica,2006,4408
CRI,Costa Rica,2007,4426
CRI,Costa Rica,2008,4618
CRI,Costa Rica,2009,4736
CRI,Costa Rica,2010,5035
CRI,Costa Rica,2011,3771
CRI,Costa Rica,2012,1345
CRI,Costa Rica,2013,1552
CRI,Costa Rica,2014,1703
CRI,Costa Rica,2015,1912
CRI,Costa Rica,2016,1574
CRI,Costa Rica,2017,2644
EST,Estonia,2005,1047
EST,Estonia,2006,993
EST,Estonia,2007,963
EST,Estonia,2008,965
EST,Estonia,2009,1069
EST,Estonia,2010,1047
EST,Estonia,2011,1034
EST,Estonia,2012,1023
EST,Estonia,2013,1460
EST,Estonia,2014,1549
EST,Estonia,2015,1515
EST,Estonia,2016,1538
EST,Estonia,2017,1429
EST,Estonia,2018,1597
IDN,Indonesia,2005,753981
IDN,Indonesia,2006,783625
IDN,Indonesia,2007,788848
IDN,Indonesia,2008,788188
IDN,Indonesia,2009,773078
IDN,Indonesia,2010,739932
IDN,Indonesia,2011,767187
IDN,Indonesia,2012,808775
IDN,Indonesia,2013,829512
IDN,Indonesia,2014,815544
IDN,Indonesia,2015,768123
LVA,Latvia,2005,928
LVA,Latvia,2006,897
LVA,Latvia,2007,879
LVA,Latvia,2008,841
LVA,Latvia,2009,794
LVA,Latvia,2010,786
LVA,Latvia,2011,731
LVA,Latvia,2012,715
LVA,Latvia,2013,703
LVA,Latvia,2014,700
LVA,Latvia,2015,686
LVA,Latvia,2016,679
LVA,Latvia,2017,675
LTU,Lithuania,2005,299
LTU,Lithuania,2006,273
LTU,Lithuania,2007,279
LTU,Lithuania,2008,255
LTU,Lithuania,2009,220
LTU,Lithuania,2010,204
LTU,Lithuania,2011,171
LTU,Lithuania,2012,156
LTU,Lithuania,2013,153
LTU,Lithuania,2014,153
LTU,Lithuania,2015,151
LTU,Lithuania,2016,154
LTU,Lithuania,2017,144
RUS,Russia,2014,2542
SVN,Slovenia,2007,175
SVN,Slovenia,2008,181
SVN,Slovenia,2009,185
SVN,Slovenia,2010,185
SVN,Slovenia,2011,186
SVN,Slovenia,2012,175
SVN,Slovenia,2013,170
SVN,Slovenia,2014,169
SVN,Slovenia,2015,169
SVN,Slovenia,2016,171
SVN,Slovenia,2017,171
TWN,Chinese Taipei,2006,26216
TWN,Chinese Taipei,2007,25622
TWN,Chinese Taipei,2008,24889
TWN,Chinese Taipei,2009,24127
TWN,Chinese Taipei,2010,23782
TWN,Chinese Taipei,2011,23557
TWN,Chinese Taipei,2012,23441
TWN,Chinese Taipei,2013,23012
TWN,Chinese Taipei,2014,22771
TWN,Chinese Taipei,2015,22695
TWN,Chinese Taipei,2016,22567
TWN,Chinese Taipei,2017,22433
THA,Thailand,2005,13627
THA,Thailand,2006,12552
THA,Thailand,2007,13056
THA,Thailand,2008,12920
THA,Thailand,2009,16891
THA,Thailand,2010,15381
THA,Thailand,2011,17203
THA,Thailand,2012,18089
THA,Thailand,2013,16548
THA,Thailand,2014,23556
THA,Thailand,2015,25231
AUT,Austria,2005,200
AUT,Austria,2006,190
AUT,Austria,2007,190
AUT,Austria,2008,190
AUT,Austria,2009,190
AUT,Austria,2010,190
AUT,Austria,2011,180
AUT,Austria,2012,180
AUT,Austria,2013,180
AUT,Austria,2014,180
AUT,Austria,2015,180
AUT,Austria,2016,180
AUT,Austria,2017,180