Species_Code,Species,Country,Country_Code,YEAR,Sum of Value
1,Freshwater,Australia,AUS,2008,1359
1,Freshwater,Australia,AUS,2009,1389
1,Freshwater,Australia,AUS,2010,1417
1,Freshwater,Australia,AUS,2011,1121
1,Freshwater,Australia,AUS,2012,1142
1,Freshwater,Australia,AUS,2013,1125
1,Freshwater,Australia,AUS,2014,1235
1,Freshwater,Australia,AUS,2015,1053
1,Freshwater,Australia,AUS,2016,994.84
1,Freshwater,Australia,AUS,2017,1161
1,Freshwater,Chinese Taipei,TWN,2008,0
1,Freshwater,Chinese Taipei,TWN,2009,25.4504
1,Freshwater,Chinese Taipei,TWN,2010,0
1,Freshwater,Chinese Taipei,TWN,2011,0
1,Freshwater,Chinese Taipei,TWN,2012,0.3643
1,Freshwater,Chinese Taipei,TWN,2013,69.0861
1,Freshwater,Chinese Taipei,TWN,2014,3.81576
1,Freshwater,Chinese Taipei,TWN,2015,0.4527
1,Freshwater,Chinese Taipei,TWN,2016,6.9831
1,Freshwater,Chinese Taipei,TWN,2017,0
1,Freshwater,Denmark,DNK,2008,45.7
1,Freshwater,Denmark,DNK,2009,45
1,Freshwater,Denmark,DNK,2010,40.1
1,Freshwater,Denmark,DNK,2011,74.1
1,Freshwater,Denmark,DNK,2012,78.4
1,Freshwater,Denmark,DNK,2013,107.8
1,Freshwater,Denmark,DNK,2014,96.7
1,Freshwater,Denmark,DNK,2015,64
1,Freshwater,Denmark,DNK,2016,49.2
1,Freshwater,Denmark,DNK,2017,53.1
1,Freshwater,France,FRA,2008,0.4
1,Freshwater,France,FRA,2009,6.3
1,Freshwater,France,FRA,2010,93.6
1,Freshwater,France,FRA,2011,16.3
1,Freshwater,France,FRA,2012,11.4
1,Freshwater,France,FRA,2013,13.5
1,Freshwater,France,FRA,2014,10.8
1,Freshwater,France,FRA,2015,8.5
1,Freshwater,France,FRA,2016,11.9
1,Freshwater,France,FRA,2017,8.2
1,Freshwater,Mexico,MEX,2008,75611.5599
1,Freshwater,Mexico,MEX,2009,75110.0548
1,Freshwater,Mexico,MEX,2010,77748.61859
1,Freshwater,Mexico,MEX,2011,63009.69373
1,Freshwater,Mexico,MEX,2012,56551.5851
1,Freshwater,Mexico,MEX,2013,83715.14623
1,Freshwater,Mexico,MEX,2014,94128.49789
1,Freshwater,Mexico,MEX,2015,107701.7411
1,Freshwater,Mexico,MEX,2016,153716.3744
1,Freshwater,Mexico,MEX,2017,132685.4012
1,Freshwater,Netherlands,NLD,2008,1.247
1,Freshwater,Netherlands,NLD,2009,3.287
1,Freshwater,Netherlands,NLD,2010,8.61
1,Freshwater,Netherlands,NLD,2011,311.03
1,Freshwater,Netherlands,NLD,2012,9.267
1,Freshwater,Netherlands,NLD,2013,22.051
1,Freshwater,Netherlands,NLD,2014,2.329
1,Freshwater,Netherlands,NLD,2015,7.131
1,Freshwater,Netherlands,NLD,2016,6.498
1,Freshwater,Netherlands,NLD,2017,34.838
1,Freshwater,Norway,NOR,2008,0.7714
1,Freshwater,Norway,NOR,2009,0.0722
1,Freshwater,Norway,NOR,2010,0.0442
1,Freshwater,Norway,NOR,2011,0.7098
1,Freshwater,Norway,NOR,2012,0.0064
1,Freshwater,Norway,NOR,2013,0.0814
1,Freshwater,Norway,NOR,2014,0.069
1,Freshwater,Norway,NOR,2015,0.039
1,Freshwater,Norway,NOR,2016,0.0065
1,Freshwater,Norway,NOR,2017,0.1695
1,Freshwater,Peru,PER,2008,4447.723083
1,Freshwater,Peru,PER,2009,8722.330097
1,Freshwater,Peru,PER,2010,4838.035775
1,Freshwater,Peru,PER,2011,10219.92194
1,Freshwater,Peru,PER,2012,7728.85468
1,Freshwater,Peru,PER,2013,51060.59529
1,Freshwater,Peru,PER,2014,14448.7949
1,Freshwater,Peru,PER,2015,5120.699766
1,Freshwater,Peru,PER,2016,7985.916651
1,Freshwater,Spain,ESP,2008,0
1,Freshwater,Spain,ESP,2016,0.11
1,Freshwater,Sweden,SWE,2008,158.3866
1,Freshwater,Sweden,SWE,2009,139.0595
1,Freshwater,Sweden,SWE,2010,116.0114
1,Freshwater,Sweden,SWE,2011,133.7861
1,Freshwater,Sweden,SWE,2012,143.2027
1,Freshwater,Sweden,SWE,2013,156.0875
1,Freshwater,Sweden,SWE,2014,177.8104
1,Freshwater,Sweden,SWE,2015,197.5897
1,Freshwater,Sweden,SWE,2016,185.3803
1,Freshwater,Sweden,SWE,2017,149.152
1,Freshwater,United States,USA,2008,8543
1,Freshwater,United States,USA,2009,7914
1,Freshwater,United States,USA,2010,8392
1,Freshwater,United States,USA,2011,8721
1,Freshwater,United States,USA,2012,9182
1,Freshwater,United States,USA,2013,8954
1,Freshwater,United States,USA,2014,9619
1,Freshwater,United States,USA,2015,10776
1,Freshwater,United States,USA,2016,10648
1,Freshwater,United States,USA,2017,6001
2,Diadromous,Australia,AUS,2008,1621.87
2,Diadromous,Australia,AUS,2009,1745.347
2,Diadromous,Australia,AUS,2010,1658.15
2,Diadromous,Australia,AUS,2011,2070.84786
2,Diadromous,Australia,AUS,2012,2260.63
2,Diadromous,Australia,AUS,2013,1595.52
2,Diadromous,Australia,AUS,2014,1235.87
2,Diadromous,Australia,AUS,2015,1074.05
2,Diadromous,Australia,AUS,2016,1029.17
2,Diadromous,Australia,AUS,2017,1210.02
2,Diadromous,Canada,CAN,2008,10121.8865
2,Diadromous,Canada,CAN,2009,22955.0175
2,Diadromous,Canada,CAN,2010,27232.632
2,Diadromous,Canada,CAN,2011,23646.774
2,Diadromous,Canada,CAN,2012,11569.52
2,Diadromous,Canada,CAN,2013,19724.86
2,Diadromous,Canada,CAN,2014,37470.18469
2,Diadromous,Canada,CAN,2015,22619.97729
2,Diadromous,Canada,CAN,2016,25885.70003
2,Diadromous,Chinese Taipei,TWN,2008,63.639
2,Diadromous,Chinese Taipei,TWN,2009,83.9584
2,Diadromous,Chinese Taipei,TWN,2010,105.007
2,Diadromous,Chinese Taipei,TWN,2011,79.0571
2,Diadromous,Chinese Taipei,TWN,2012,98.87098
2,Diadromous,Chinese Taipei,TWN,2013,73.7322
2,Diadromous,Chinese Taipei,TWN,2014,24.59872
2,Diadromous,Chinese Taipei,TWN,2015,31.54123
2,Diadromous,Chinese Taipei,TWN,2016,41.15462
2,Diadromous,Chinese Taipei,TWN,2017,27.03804
2,Diadromous,Denmark,DNK,2008,558.1
2,Diadromous,Denmark,DNK,2009,656.1
2,Diadromous,Denmark,DNK,2010,613.6
2,Diadromous,Denmark,DNK,2011,512.8
2,Diadromous,Denmark,DNK,2012,902.4
2,Diadromous,Denmark,DNK,2013,617.3
2,Diadromous,Denmark,DNK,2014,488.9
2,Diadromous,Denmark,DNK,2015,382
2,Diadromous,Denmark,DNK,2016,364.1
2,Diadromous,Denmark,DNK,2017,286.6
2,Diadromous,France,FRA,2008,155.2
2,Diadromous,France,FRA,2009,441.4
2,Diadromous,France,FRA,2010,453.5
2,Diadromous,France,FRA,2011,559.8
2,Diadromous,France,FRA,2012,694.6
2,Diadromous,France,FRA,2013,560
2,Diadromous,France,FRA,2014,512
2,Diadromous,France,FRA,2015,400.6
2,Diadromous,France,FRA,2016,421.6
2,Diadromous,France,FRA,2017,429.8
2,Diadromous,Iceland,ISL,2012,0.1
2,Diadromous,Iceland,ISL,2013,0
2,Diadromous,Iceland,ISL,2014,0.34
2,Diadromous,Iceland,ISL,2015,0.108
2,Diadromous,Iceland,ISL,2016,0.029
2,Diadromous,Iceland,ISL,2017,0
2,Diadromous,Italy,ITA,2013,9.22436
2,Diadromous,Italy,ITA,2014,32.99797
2,Diadromous,Italy,ITA,2015,36.28303
2,Diadromous,Italy,ITA,2016,88.9809
2,Diadromous,Italy,ITA,2017,97.80743
2,Diadromous,Japan,JPN,2008,187759
2,Diadromous,Japan,JPN,2009,230941
2,Diadromous,Japan,JPN,2010,186115
2,Diadromous,Japan,JPN,2011,154458
2,Diadromous,Japan,JPN,2012,140664
2,Diadromous,Japan,JPN,2013,176406
2,Diadromous,Japan,JPN,2014,156559
2,Diadromous,Japan,JPN,2015,144019
2,Diadromous,Japan,JPN,2016,116132
2,Diadromous,Japan,JPN,2017,77200
2,Diadromous,Korea,KOR,2008,7963
2,Diadromous,Korea,KOR,2009,7694
2,Diadromous,Korea,KOR,2010,13681.263
2,Diadromous,Korea,KOR,2011,9040
2,Diadromous,Korea,KOR,2012,12878
2,Diadromous,Korea,KOR,2013,11281
2,Diadromous,Korea,KOR,2014,11962
2,Diadromous,Korea,KOR,2015,9115
2,Diadromous,Korea,KOR,2016,5839
2,Diadromous,Korea,KOR,2017,13959
2,Diadromous,Mexico,MEX,2008,1958.074599
2,Diadromous,Mexico,MEX,2009,1902.630177
2,Diadromous,Mexico,MEX,2010,2286.99014
2,Diadromous,Mexico,MEX,2011,2002.3785
2,Diadromous,Mexico,MEX,2012,2749.8731
2,Diadromous,Mexico,MEX,2013,3083.822433
2,Diadromous,Mexico,MEX,2014,3421.182451
2,Diadromous,Mexico,MEX,2015,3124.53061
2,Diadromous,Mexico,MEX,2016,2452.466
2,Diadromous,Mexico,MEX,2017,2456.066
2,Diadromous,Netherlands,NLD,2008,198.811
2,Diadromous,Netherlands,NLD,2009,372.152
2,Diadromous,Netherlands,NLD,2010,415.014
2,Diadromous,Netherlands,NLD,2011,115.223
2,Diadromous,Netherlands,NLD,2012,219.691
2,Diadromous,Netherlands,NLD,2013,171.858
2,Diadromous,Netherlands,NLD,2014,69.29
2,Diadromous,Netherlands,NLD,2015,16.793
2,Diadromous,Netherlands,NLD,2016,128.999
2,Diadromous,Netherlands,NLD,2017,394.157
2,Diadromous,Norway,NOR,2008,605.6426
2,Diadromous,Norway,NOR,2009,363.9026
2,Diadromous,Norway,NOR,2010,303.6968
2,Diadromous,Norway,NOR,2011,318.4326
2,Diadromous,Norway,NOR,2012,265.1898
2,Diadromous,Norway,NOR,2013,197.6523
2,Diadromous,Norway,NOR,2014,219.3487
2,Diadromous,Norway,NOR,2015,4.4111
2,Diadromous,Norway,NOR,2016,9.9799
2,Diadromous,Norway,NOR,2017,20.4241
2,Diadromous,Portugal,PRT,2008,1.67377
2,Diadromous,Portugal,PRT,2009,3.71434
2,Diadromous,Portugal,PRT,2010,3.56513
2,Diadromous,Portugal,PRT,2011,7.9
2,Diadromous,Portugal,PRT,2012,0.6
2,Diadromous,Portugal,PRT,2013,0.8
2,Diadromous,Portugal,PRT,2014,0.5
2,Diadromous,Portugal,PRT,2015,0.7
2,Diadromous,Portugal,PRT,2016,0.5
2,Diadromous,Portugal,PRT,2017,0.3
2,Diadromous,Spain,ESP,2008,267
2,Diadromous,Spain,ESP,2009,268.8
2,Diadromous,Spain,ESP,2010,296.8
2,Diadromous,Spain,ESP,2011,243.88
2,Diadromous,Spain,ESP,2012,240.49
2,Diadromous,Spain,ESP,2013,336.75
2,Diadromous,Spain,ESP,2014,355.7
2,Diadromous,Spain,ESP,2015,270.55
2,Diadromous,Spain,ESP,2016,327.9
2,Diadromous,Spain,ESP,2017,247.11
2,Diadromous,Sweden,SWE,2008,1623.3753
2,Diadromous,Sweden,SWE,2009,1902.2718
2,Diadromous,Sweden,SWE,2010,1901.9675
2,Diadromous,Sweden,SWE,2011,2151.5088
2,Diadromous,Sweden,SWE,2012,2012.753
2,Diadromous,Sweden,SWE,2013,2116.9087
2,Diadromous,Sweden,SWE,2014,2396.3561
2,Diadromous,Sweden,SWE,2015,2480.4228
2,Diadromous,Sweden,SWE,2016,2292.556
2,Diadromous,Sweden,SWE,2017,1527.3543
2,Diadromous,Thailand,THA,2008,54
2,Diadromous,Thailand,THA,2009,78
2,Diadromous,Thailand,THA,2010,31
2,Diadromous,Thailand,THA,2011,47
2,Diadromous,Thailand,THA,2012,75
2,Diadromous,Thailand,THA,2013,107
2,Diadromous,Thailand,THA,2014,208
2,Diadromous,Turkey,TUR,2008,2289
2,Diadromous,Turkey,TUR,2009,3070
2,Diadromous,Turkey,TUR,2010,2574
2,Diadromous,Turkey,TUR,2011,2581.5
2,Diadromous,Turkey,TUR,2012,1699.3
2,Diadromous,Turkey,TUR,2013,1541
2,Diadromous,Turkey,TUR,2014,2094.4
2,Diadromous,Turkey,TUR,2015,2034.7
2,Diadromous,Turkey,TUR,2016,1642
2,Diadromous,Turkey,TUR,2017,1576.2
2,Diadromous,United Kingdom,GBR,2008,13.1422
2,Diadromous,United Kingdom,GBR,2009,24.1827
2,Diadromous,United Kingdom,GBR,2010,7.8262
2,Diadromous,United Kingdom,GBR,2011,16.0072
2,Diadromous,United Kingdom,GBR,2012,12.1777
2,Diadromous,United Kingdom,GBR,2013,12.3099
2,Diadromous,United Kingdom,GBR,2014,8.669
2,Diadromous,United Kingdom,GBR,2015,3.4842
2,Diadromous,United Kingdom,GBR,2016,7.5766
2,Diadromous,United Kingdom,GBR,2017,7.7461
2,Diadromous,United States,USA,2008,311920
2,Diadromous,United States,USA,2009,333138
2,Diadromous,United States,USA,2010,370862
2,Diadromous,United States,USA,2011,367028
2,Diadromous,United States,USA,2012,302194
2,Diadromous,United States,USA,2013,497868
2,Diadromous,United States,USA,2014,338910
2,Diadromous,United States,USA,2015,494656
2,Diadromous,United States,USA,2016,264864
2,Diadromous,United States,USA,2017,466449
3,Marine,Argentina,ARG,2008,619668.7
3,Marine,Argentina,ARG,2009,636999.6
3,Marine,Argentina,ARG,2010,596338.9
3,Marine,Argentina,ARG,2011,562569.4
3,Marine,Argentina,ARG,2012,506799.9
3,Marine,Argentina,ARG,2013,519395.8
3,Marine,Argentina,ARG,2014,484869.332
3,Marine,Argentina,ARG,2015,489441.376
3,Marine,Argentina,ARG,2016,454188.691
3,Marine,Argentina,ARG,2017,428718.547
3,Marine,Australia,AUS,2008,119403.13
3,Marine,Australia,AUS,2009,115321.582
3,Marine,Australia,AUS,2010,117493.8
3,Marine,Australia,AUS,2011,107462.4983
3,Marine,Australia,AUS,2012,110589.9
3,Marine,Australia,AUS,2013,106136.59
3,Marine,Australia,AUS,2014,102833.66
3,Marine,Australia,AUS,2015,102726.3
3,Marine,Australia,AUS,2016,124678.66
3,Marine,Australia,AUS,2017,113296.26
3,Marine,Canada,CAN,2008,461977.4227
3,Marine,Canada,CAN,2009,470021.5442
3,Marine,Canada,CAN,2010,441194.311
3,Marine,Canada,CAN,2011,385586.843
3,Marine,Canada,CAN,2012,350488.575
3,Marine,Canada,CAN,2013,360283.886
3,Marine,Canada,CAN,2014,350853.3294
3,Marine,Canada,CAN,2015,334376.5976
3,Marine,Canada,CAN,2016,400533.3482
3,Marine,Chile,CHL,2008,3294422
3,Marine,Chile,CHL,2009,3283245
3,Marine,Chile,CHL,2010,2357063
3,Marine,Chile,CHL,2011,2778578
3,Marine,Chile,CHL,2012,2310995
3,Marine,Chile,CHL,2013,1558153
3,Marine,Chile,CHL,2014,1886467
3,Marine,Chile,CHL,2015,1466770
3,Marine,Chinese Taipei,TWN,2008,743602.49
3,Marine,Chinese Taipei,TWN,2009,705213.5676
3,Marine,Chinese Taipei,TWN,2010,758328.8598
3,Marine,Chinese Taipei,TWN,2011,752019.47
3,Marine,Chinese Taipei,TWN,2012,771995.942
3,Marine,Chinese Taipei,TWN,2013,764560.4549
3,Marine,Chinese Taipei,TWN,2014,825763.9078
3,Marine,Chinese Taipei,TWN,2015,696870.3012
3,Marine,Chinese Taipei,TWN,2016,702914.9881
3,Marine,Chinese Taipei,TWN,2017,641100.8179
3,Marine,Denmark,DNK,2008,638222
3,Marine,Denmark,DNK,2009,721476.6
3,Marine,Denmark,DNK,2010,783424.2
3,Marine,Denmark,DNK,2011,665663.9
3,Marine,Denmark,DNK,2012,449597.4
3,Marine,Denmark,DNK,2013,611698.5
3,Marine,Denmark,DNK,2014,683739.7
3,Marine,Denmark,DNK,2015,796389.7
3,Marine,Denmark,DNK,2016,599995.8
3,Marine,Denmark,DNK,2017,832612.9
3,Marine,France,FRA,2008,204718.6
3,Marine,France,FRA,2009,146379.8
3,Marine,France,FRA,2010,177044.7
3,Marine,France,FRA,2011,210194.92
3,Marine,France,FRA,2012,199362.54
3,Marine,France,FRA,2013,202763.4
3,Marine,France,FRA,2014,201928.46
3,Marine,France,FRA,2015,191447.35
3,Marine,France,FRA,2016,261105.6
3,Marine,France,FRA,2017,256209.85
3,Marine,Iceland,ISL,2012,1322092.565
3,Marine,Iceland,ISL,2013,1342442.851
3,Marine,Iceland,ISL,2014,1067569.922
3,Marine,Iceland,ISL,2015,1303148.99
3,Marine,Iceland,ISL,2016,1065847.861
3,Marine,Iceland,ISL,2017,1147990.739
3,Marine,Italy,ITA,2008,154324.3931
3,Marine,Italy,ITA,2009,171057.3947
3,Marine,Italy,ITA,2010,150275.6599
3,Marine,Italy,ITA,2011,139411.6257
3,Marine,Italy,ITA,2012,132441.118
3,Marine,Italy,ITA,2013,113897.2322
3,Marine,Italy,ITA,2014,119657.352
3,Marine,Italy,ITA,2015,135982.2891
3,Marine,Italy,ITA,2016,132218.0576
3,Marine,Italy,ITA,2017,129240.0993
3,Marine,Japan,JPN,2008,3178777
3,Marine,Japan,JPN,2009,2941995
3,Marine,Japan,JPN,2010,2979210
3,Marine,Japan,JPN,2011,2765298
3,Marine,Japan,JPN,2012,2762858
3,Marine,Japan,JPN,2013,2677628
3,Marine,Japan,JPN,2014,2714842
3,Marine,Japan,JPN,2015,2665883
3,Marine,Japan,JPN,2016,2569955
3,Marine,Japan,JPN,2017,2617400
3,Marine,Korea,KOR,2008,870014.488
3,Marine,Korea,KOR,2009,787808
3,Marine,Korea,KOR,2010,722521.302
3,Marine,Korea,KOR,2011,833563
3,Marine,Korea,KOR,2012,691508
3,Marine,Korea,KOR,2013,683241
3,Marine,Korea,KOR,2014,684560
3,Marine,Korea,KOR,2015,707576
3,Marine,Korea,KOR,2016,607419
3,Marine,Korea,KOR,2017,686159.983
3,Marine,Mexico,MEX,2008,1083916.99
3,Marine,Mexico,MEX,2009,1133087.814
3,Marine,Mexico,MEX,2010,998418.3637
3,Marine,Mexico,MEX,2011,1053995.161
3,Marine,Mexico,MEX,2012,1098239.009
3,Marine,Mexico,MEX,2013,1153179.394
3,Marine,Mexico,MEX,2014,1070745.953
3,Marine,Mexico,MEX,2015,989243.7864
3,Marine,Mexico,MEX,2016,973702.493
3,Marine,Mexico,MEX,2017,1141838.184
