Species_Code,Species,Country,Country_Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
4,Crustaceans,Germany,DEU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11496.363,8960.955,8658.873
4,Crustaceans,Greece,GRC,0,0,3296.48,3790.32,4401.54,5707.4,6013.25,5681.52,4467.24,4233.97,4171.43,4507.93,3656.07,4056.62,3940.19,5760.75,6980.9,3871.2
4,Crustaceans,Iceland,ISL,0,0,0,0,0,0,0,0,0,0,0,0,12049.2,12710.13,9210.26,7658.4,7893.366,5503
4,Crustaceans,Ireland,IRL,0,0,0,0,0,0,0,18135.33117,17389.54166,14160.39534,17468.74833,15252.09264,18342.45637,16023.94127,18341.75353,16470.41586,22410.13241,14903.22
4,Crustaceans,Italy,ITA,0,0,0,0,27964.62609,28744.39674,29384.34739,26250.55321,22535.69433,26065.97921,25859.69492,24328.884,19947.66953,20171.88308,18698.31336,21035.33064,20689.66784,22650.44112
4,Crustaceans,Japan,JPN,144722,114741,104139,110214,104437,103810,97613,98621,97280,82125,90789,52735,64633,73046,62592,71298,61575,55400
4,Crustaceans,Korea,KOR,74994,67070,57327,66002,57110,62075,73715,85297,87631,100126,108199,101723,105232,105537,102273,90002,83612,76350.871
4,Crustaceans,Latvia,LVA,0,0,0,0,3202,2356,1574,2249,1563,1532,994,437,532,459,229,3830,5237,0
4,Crustaceans,Lithuania,LTU,0,0,0,0,0,1278.591,740.748,5051.054,1208.153,0,409.033,862.681,679.386,436.56,1310.93342,2652.02555,1318.28134,2813.868
4,Crustaceans,Mexico,MEX,0,0,0,0,0,79654.737,79209.33741,86224.87962,83446.64249,72825.18445,77348.30134,82831.33576,73901.24032,88107.5354,99675.86164,132371.7226,145064.784,52514.819
4,Crustaceans,Netherlands,NLD,0,0,0,0,0,0,0,0,16589.323,20360.63,18409.397,17406.574,16147.769,21691.431,25113.679,20709.443,20868.95,16280.676
4,Crustaceans,New Zealand,NZL,0,1219.947,3858.488,3706.386,3267.297,3781.689,3632.519,3540.454,3591.527,3323.234,3894.972,3709.723,3623.208,3800.919,3849.714,3965.375,4194.117,4170.321
4,Crustaceans,Norway,NOR,70033.2254,69502.1013,74273.8822,71682.2946,65789.5388,55566.4616,47535.338,54413.3158,51062.1934,44795.5648,47202.242,49061.5439,39458.552,41021.9766,49522.4845,60307.0031,58583.5805,50795.797
4,Crustaceans,Peru,PER,4145.462458,4414.75186,7303.21377,7631.980484,9151.622545,12314.36224,13829.66264,16745.99243,17484.13333,19441.23174,21935.48136,31030.81528,32460.31557,30028.56609,34245.94545,33468.63947,35892.63628,0
4,Crustaceans,Portugal,PRT,3606.1,3956.3,2251.7,3409.2,2274.14,2120.7,2111.59,2371.888,2844.71175,3903.27752,3134.42646,4129.8,2456.3,1667.8,1539.1,1193.4,1325.2,1365.9
4,Crustaceans,Slovenia,SVN,0,0,0,0,0,0,2.6,7.8,6.6,4,5.3,3.9,1.1,0.6,1.8,2.4,7.54657,1.36286
4,Crustaceans,Spain,ESP,23920,27587,19644,19794,14964,14056,16570,16632,15410,11651.6,9440.3,10349.12,6834.56,8974.23,13905.9,11212.59,10413.63,12805.23
4,Crustaceans,Sweden,SWE,3463.0648,3215.511,3391.5274,3310.6287,3394.8884,3363.1545,3662.2899,3956.4147,4082.1955,3816.8765,3141.1302,2840.1519,3019.9907,2487.2617,2775.6692,2906.5477,3544.5852,3198.7242
4,Crustaceans,Thailand,THA,145920,139130,127719,128332,119526,119474,123146,98338,84504,86313,86241,84617,86036,72570,68678,0,0,0
4,Crustaceans,Turkey,TUR,32,38,39,46,48,64,96,3972,4763,4775,4806,4844.6,5084.7,4059.7,4425.9,4008.1,4511.6,4748.6
4,Crustaceans,United Kingdom,GBR,59410.6256,60179.42,58430.5024,59589.5828,57572.9916,58489.7698,74189.9481,81060.0933,74810.0315,73937.6449,74118.6292,69086.1623,70526.3889,64697.049,70705.4677,61899.8506,71963.9682,70787.9111
4,Crustaceans,United States,USA,354903,319924,342313,337138,335834,304118,356576,311309,316207,354957,347090,379755,384851,364745,361475,374691,356843,182770
5,Molluscs,Argentina,ARG,286073.6,237434.4,184731.4,148211.7,83281.7,152645,303975.1,241126.2,265044.9,80630.3,93392.7,84164,100653.5,197862.6,173630.387,131182.104,65340.512,104781.596
5,Molluscs,Australia,AUS,0,23169.996,17441.08,21862.42,23293.8,28430.91,19460.344,21632.23,18763.02,15812.919,15019.85,15103.79823,12247.84,15410.23,11020.43,11556.23,12391.52,13594.39
5,Molluscs,Belgium,BEL,1014.901,964.377,1620.879,1435.98,1646.253,1331.43,1486.874,2349.938,1787.398,1341.199,1701.917,1548.62,1921.519,1394.855,1914.702,1889.325,1999.234,2272.03
5,Molluscs,Canada,CAN,125098.6922,125530.2232,134102.5578,137759.4992,124273.4347,89583.23076,118024.4223,99393.49556,102270.623,105112.0476,99013.201,99174.364,89480.22,101846.799,103260.166,99315.63028,101841.753,0
5,Molluscs,Chile,CHL,0,0,0,0,0,0,0,0,196275,105372,264600,220562,190738,143429,214888,184411,0,0
5,Molluscs,Chinese Taipei,TWN,273015.7708,167548.4678,130211.167,169972.4048,78531.4706,77361.6544,159298.8287,309384.2469,247494.1293,76020.46118,66724.42569,111150.504,107828.3769,132399.3798,213542.2354,271703.7134,34140.32304,90477.35659
5,Molluscs,Colombia,COL,0,0,0,0,0,0,0,0,0,0,0,0,1.277225507,118.2045367,136.8360955,398.797755,81.85107061,88.44794199
5,Molluscs,Costa Rica,CRI,122.62321,76.7999,74.3754,86.05195,125.55383,79.54448,79.96358,42.51861,80.67474004,81.18718005,56.0082299,58.27330016,50.62951991,45.45846,26.67756001,47.37500998,32.38430996,0
5,Molluscs,Denmark,DNK,112734.7,125123.2,113211.7,94286.1,105645.9,71198,56531.6,58755.4,41257.6,40749.6,29173.9,36088.8,39985.5,43752.9,47747.6,53568.9,49485.2,50251.6
5,Molluscs,Estonia,EST,0,0,0,0,0,580.848,522.83,0,0,5.324,86.505,398.722,1423.098,0,0,0,0,0.089
5,Molluscs,France,FRA,61301,63321,72865,68427,66353,62639,64914.7,66330.1,58052.8,36777.1,43461,81526.8,73977.3,70842.8,64105.2,64985.5,64256.9,69934.4
5,Molluscs,Germany,DEU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.103,22261.962,18595.395
5,Molluscs,Greece,GRC,0,0,9584.82,10092.8,8607.11,7824.71,9249.39,9030.79,6997.38,7522.82,6283.13,5810.2,6199.67,6267.05,5800.52,5442.79,2688.9,3220.7
5,Molluscs,Iceland,ISL,0,0,0,0,0,0,0,0,0,0,0,0,504,238,497,719,1220.224,1310
5,Molluscs,Ireland,IRL,0,0,0,0,0,0,0,7606.32328,5216.26135,23203.3683,8474.69115,9949.17675,7933.0873,7783.11438,7613.39383,6514.48852,10603.80107,8829.61
5,Molluscs,Italy,ITA,0,0,0,0,59089.34763,56774.9985,58989.44374,72322.48914,60594.81273,53669.81107,50373.70039,50674.59055,45337.74611,38545.90871,38389.71639,38620.02485,39359.46566,39806.56034
5,Molluscs,Japan,JPN,1013250,890160,835406,830914,755931,708763,645956,674441,689892,694708,664102,666607,593149,633366,624187,448687,370806,379500
5,Molluscs,Korea,KOR,325150,313659,308747,362502,332768,292529,300226,279325,297581,313404,268157,269645,265465,229059,245173,242577,200455,180956.2068
5,Molluscs,Lithuania,LTU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.001,0,0
5,Molluscs,Mexico,MEX,0,0,0,0,0,120224.545,144301.3017,135732.0106,149154.5611,126659.3791,155568.8649,132064.4023,110598.8323,116413.1005,143494.5917,125064.2689,115242.612,114889.6825
5,Molluscs,Netherlands,NLD,0,0,0,0,0,0,0,0,3594.384,3467.112,3918.453,4223.458,4196.847,4102.296,6022.394,6881.635,7696.964,14439.858
5,Molluscs,New Zealand,NZL,0,6413.635,59105.93782,52440.42873,91841.89031,95767.90373,75901.83941,75814.97733,60818.99851,51186.17282,37449.86567,41764.36347,39999.66961,29369.00022,19340.96061,20679.3798,47803.5989,23085.62769
5,Molluscs,Norway,NOR,643.4795,734.9765,687.5373,610.8096,781.7813,844.404,868.3013,900.1028,991.4572,905.2679,847.481,771.3482,766.4434,827.4289,829.2126,690.6148,1049.4628,1110.5394
5,Molluscs,Peru,PER,111999.9195,119508.7322,186074.915,215890.2718,318697.3265,341710.8062,487044.869,495231.691,584571.0629,470286.8844,457098.7876,519755.7851,581897.967,574801.1735,647638.5519,587534.1456,378274.5802,0
5,Molluscs,Poland,POL,0,0,0,0,0,0,0,0,0.241,0,0,0,0,0,0,0,0,0
5,Molluscs,Portugal,PRT,14975.5,14067.3,16094,20280.4,18414.54,17204.37635,12343.64194,13379.63,20912.5314,12818.90895,18586.42433,14676.7,16540.8,19919.1,18510.3,15258.5,19292.1,17132.5
5,Molluscs,Slovenia,SVN,0,0,0,0,0,0,60.6,87.9,44,54,57.6,54.4,48.9,33.2,35.1,24.5,28.8977,21.63329
5,Molluscs,Spain,ESP,76256,79077,45524,40084,37933,46257,52054,53332,49655,56276.1,49525.7,42913.66,61852.09,64002.81,66395.3,52141.76,38034.74,43642.45
5,Molluscs,Sweden,SWE,77.6518,53.4431,90.4875,91.6813,106.8767,116.8061,117.4471,60.3382,33.3665,25.4357,73.6118,103.2099,203.2464,157.9424,60.366,61.3733,14.2949,26.4158
5,Molluscs,Thailand,THA,271630,221243,219060,223458,200041,183754,175525,150175,133390,133012,152993,146636,134158,137096,119236,0,0,0
5,Molluscs,Turkey,TUR,18799,19192,29259,46902,48097,46069,78925,66956,52690,39635,41218,40567.8,75600.8,39819.3,30593.4,47957.6,33209.5,47747.5
5,Molluscs,United Kingdom,GBR,77064.7142,85859.0054,81819.9826,84402.0887,74441.9014,81371.3636,67396.5808,66233.5569,74940.9159,63344.6199,80088.1342,92664.0845,100725.8606,91947.5449,81259.786,87742.596,79363.1072,73483.3534
5,Molluscs,United States,USA,846463,862313,878823,888590,895840,770882,825977,832898,770586,831418,835802,832689,806762,761216,718681,670276,686938,582596
6,"Whales, seals and other aquatic mammals",Japan,JPN,1767,1874,1997,1800,2039,1652,1599,1573,1154,1404,932,562,481,620,622,582,509,600
6,"Whales, seals and other aquatic mammals",Netherlands,NLD,0,0,0,0,0,0,0,0,0,0,0,0.107,0,0,0,0,0,0
6,"Whales, seals and other aquatic mammals",Norway,NOR,805.609,1133.222,943.1042,896.925,704.2485,836.1765,697.977,768.489,698.026,580.152,633.46,641.135,677.529,1133.5643,1196.2931,799.769,819.136,625.6075
6,"Whales, seals and other aquatic mammals",Peru,PER,0,0,0,2.17235,0,0,0,0.612030075,0,0,0,0,0,0,0.564684811,0,0.05,0
7,Miscellaneous aquatic animals,Australia,AUS,0,165.685,154.45,209.83,160,150.38,71.13,92.17,305.1,226.234,174.9,117.445,48.28,20.2,64.59,44.35,38.68,133.81
7,Miscellaneous aquatic animals,Canada,CAN,12865.04942,11882.8741,13340.56566,18698.15832,18076.50539,21787.87474,11254.79333,10153.03447,10520.04738,11894.78549,11963.56,14000.37,11520.525,10387.832,13361.68953,14785.41882,14358.47066,0
7,Miscellaneous aquatic animals,Chile,CHL,0,0,0,0,0,0,0,0,40078,39775,33046,33082,30553,31576,34298,31682,0,0
7,Miscellaneous aquatic animals,Chinese Taipei,TWN,294.578,230.903,271.621,194.048,169.571,68.489,63.355,59.63,22.73,43.3425,24.46,24.4142,28.5213,8.967,15.29,2.041,25.1463,2.2569
7,Miscellaneous aquatic animals,Denmark,DNK,0.2,0.2,0.2,0.2,0.2,0.7,0.4,0.1,0,0,0,0,36.8,1425.4,189.6,600.9,243,1698.3
7,Miscellaneous aquatic animals,France,FRA,0,0,0,0,0,0,0,5.3,9.1,6.7,3,99.5,95.5,126.7,108.8,78,102.8,131.3
7,Miscellaneous aquatic animals,Iceland,ISL,0,0,0,0,0,0,0,0,0,0,0,0,1550,1553,1078,1687,3607,3572
7,Miscellaneous aquatic animals,Ireland,IRL,0,0,0,0,0,0,0,0,0,0,0,0.066,0,0,0,0,19.865,17.49
7,Miscellaneous aquatic animals,Italy,ITA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120.71351
7,Miscellaneous aquatic animals,Japan,JPN,107001,91752,81697,104741,61624,49234,60808,50930,63895,44404,52302,50782,43132,27447,22596,25269,22039,18000
7,Miscellaneous aquatic animals,Korea,KOR,6205,4709,5253,6340,5522,5278,6072,7518,7836,7091,6939,6731,5825,7013,10890,7305,6340,6096
7,Miscellaneous aquatic animals,Mexico,MEX,0,0,0,0,0,2319.038,2073.70425,2275.1984,2426.55307,3137.368,5983.93997,4974.23606,4770.92821,6848.73409,5093.712133,4954.31334,3882.964,5076.82
7,Miscellaneous aquatic animals,New Zealand,NZL,0,221.856,764.321,612.773,582.229,889.239,827.363,854.317,780.7,767.395,724.107,794.118,931.1,925.648,968.655,972.49,959.922,1043.189
7,Miscellaneous aquatic animals,Norway,NOR,0.691,0.472,0.111,1.392,0.053,0.01,2.614,6.421,0.9315,0.451,0.07,1.028,0.3175,0,0,2.355,0,0.2012
7,Miscellaneous aquatic animals,Peru,PER,3497.06035,3523.1692,2269.84508,2164.239312,1399.151534,3106.297995,282.3079744,1932.518628,2470.491906,2021.994817,2131.781611,4156.254511,2295.44682,1433.721035,7496.203905,1536.000696,1834.805274,0
7,Miscellaneous aquatic animals,Spain,ESP,318,309,643,44,546,463,478,541,623,445.7,689.8,742.5,729.58,584.69,535,709.28,778.58,967.89
7,Miscellaneous aquatic animals,Thailand,THA,139841,49283,29286,9280,1802,36667,139860,8354,149985,118242,37327,105491,41712,127695,65195,0,0,0
7,Miscellaneous aquatic animals,United Kingdom,GBR,0,0,0,0.0058,0.0166,0.0435,0,0,0,0.14,0,0.046,1.226,0.08,0.0121,0.0657,7.3146,0.0086
7,Miscellaneous aquatic animals,United States,USA,21538,16264,13915,14709,17319,12763,8671,10929,10031,9376,8230,10743,9582,10226,14731,7336,6369,6605
8,Miscellaneous aquatic animal products,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01
8,Miscellaneous aquatic animal products,Chinese Taipei,TWN,0,0,0,0,0,0,0,0,0,3.11876,2.93042,3.20899,3.25197,2.823,2.51351,3.63668,2.60666,2.60135
8,Miscellaneous aquatic animal products,Japan,JPN,62832,55432,57365,57259,58029,56901,45888,59771,49912,47697,51423,45875,43329,42460,40242,42607,41879,39800
8,Miscellaneous aquatic animal products,Peru,PER,58.352,1.7105,0.009,1.45,0,0,0,0,0,0,0,0.27,0,0,0.055,0.248,0.3285,0
8,Miscellaneous aquatic animal products,Spain,ESP,0,0,0,0,1,0,0,0,0,0,0,0,0,5.95,13.4,23.88,66.87,53.37
8,Miscellaneous aquatic animal products,United Kingdom,GBR,0,0,0,0,0,0,0,0,0.5798,0.0003,0,0,0,0,0,0,0,0
8,Miscellaneous aquatic animal products,United States,USA,308,291,282,252,246,208,154,227,198,94,104,47,57,112,244,90,96,0
9,Aquatic plants,Canada,CAN,34507.103,35240.547,42139.083,45796.759,41039.215,41771.8,43191.311,19381.925,17715.462,43300,43431.33,18843.975,13832.65,14842.137,14359.881,11578.852,12730.073,0
9,Aquatic plants,Chile,CHL,0,0,0,0,0,0,0,0,384563,368032,368580,403496,436035,517929,417331,379668,0,0
9,Aquatic plants,Chinese Taipei,TWN,124.686,90.854,146.053,307.346,243.996,218.527,190.749,176.707,108.14,212.816,106.561,60.947,231.636,281.299,127.529,155.839,123.356,101.257
9,Aquatic plants,Estonia,EST,0,0,0,0,0,0,394.005,1607.945,1483.49,1032.12,350.59,690,429.55,249.05,625.9,413,348.16,36.2
9,Aquatic plants,France,FRA,0,0,0,0,0,0,0,1395,9181.9,18832.7,22550.5,56052.6,75654.9,84638.5,59541.3,19441.6,59521.1,39072.8
9,Aquatic plants,Japan,JPN,118886,122000,127778,111397,113739,104788,113665,103602,104668,104103,97231,87779,98514,84498,91601,94084,80721,69800
9,Aquatic plants,Mexico,MEX,0,0,0,0,0,1258.206,1078.809,1219.452,1123.3055,1503.57,1472.73786,1505.1275,1770.826,4759.720967,3234.2687,5292.53706,6347.062,4836.843
9,Aquatic plants,Netherlands,NLD,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0
9,Aquatic plants,New Zealand,NZL,0,17.77,125.976,2.845,24.137,6.714,7.706,5.9,34.623,47.036,45.231,64.121,29.091,56.391,92.98,62.582,35.9,51.089
9,Aquatic plants,Norway,NOR,192426,175210,182641,153209,148322,153906,145430,134671,154215,160361,158516,152382.178,140997.949,154149.533,154321.6786,147390.6225,169406.188,164550.15
9,Aquatic plants,Peru,PER,1441.89,5543.91,6248.807,8065.401168,7533.60578,5084.236303,3467.323524,10886.23428,13779.45,5676.751,4367.861,5800.295,3694.59563,22190.4812,25695.16635,19811.7112,31844.7643,0
9,Aquatic plants,Portugal,PRT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64285,62.17875,0.1281,0.123
9,Aquatic plants,Spain,ESP,1215,1011,234,1,525,442,485,109,97,64.2,122.9,260.79,525.78,1215.69,2152.3,2386.2,3493.57,3415.71
9,Aquatic plants,United States,USA,41972,37114,49698,48656,35339,68066,2991,57,6806,1178,5212,6660,7048,3628,4909,3103,5743,4228
